epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1097.13,1.10268,0.56294,1.01753,0.94693,0.92208,0.96344,0.67149,1.13018,0.51664,1.04202,0.000269,0.000269,0.000269
44,1122.37,1.10727,0.56127,1.02372,0.94553,0.92283,0.96364,0.67377,1.12766,0.50828,1.03997,0.0002635,0.0002635,0.0002635
45,1147.57,1.10245,0.55842,1.01746,0.94742,0.91657,0.96259,0.66769,1.13418,0.51158,1.04262,0.000258,0.000258,0.000258
46,1172.93,1.09582,0.55114,1.01569,0.94604,0.92354,0.96332,0.66443,1.14956,0.51342,1.04843,0.0002525,0.0002525,0.0002525
47,1198.23,1.08607,0.54996,1.01539,0.94513,0.92625,0.96199,0.6721,1.12899,0.51659,1.04495,0.000247,0.000247,0.000247
48,1223.55,1.09911,0.55257,1.01703,0.94706,0.92239,0.96237,0.67302,1.12899,0.50583,1.03887,0.0002415,0.0002415,0.0002415
49,1248.86,1.08454,0.54611,1.01386,0.94493,0.92562,0.96203,0.67107,1.1315,0.50792,1.04056,0.000236,0.000236,0.000236
50,1274.08,1.08835,0.54496,1.01475,0.9469,0.92375,0.96451,0.66869,1.13484,0.50742,1.04146,0.0002305,0.0002305,0.0002305
51,1299.49,1.09224,0.54617,1.01444,0.94718,0.92625,0.96284,0.67369,1.12768,0.51367,1.03798,0.000225,0.000225,0.000225
52,1324.8,1.07953,0.53886,1.00902,0.94985,0.92045,0.96485,0.67219,1.13598,0.50115,1.04389,0.0002195,0.0002195,0.0002195
53,1350.02,1.07532,0.5372,1.00533,0.94753,0.91936,0.96411,0.67498,1.1324,0.50822,1.04392,0.000214,0.000214,0.000214
54,1375.26,1.07885,0.53552,1.01006,0.94756,0.92372,0.96346,0.67547,1.12821,0.5095,1.04238,0.0002085,0.0002085,0.0002085
55,1400.72,1.07197,0.53056,1.00545,0.94536,0.92452,0.96415,0.67349,1.12816,0.50475,1.04225,0.000203,0.000203,0.000203
56,1425.96,1.06684,0.5254,1.00586,0.94174,0.92911,0.96571,0.67216,1.13475,0.50624,1.04372,0.0001975,0.0001975,0.0001975
57,1451.12,1.07565,0.53064,1.00589,0.95137,0.91758,0.96482,0.67835,1.12401,0.50139,1.03861,0.000192,0.000192,0.000192
58,1476.51,1.06859,0.52635,1.00544,0.94407,0.92669,0.96382,0.67623,1.1311,0.51332,1.04309,0.0001865,0.0001865,0.0001865
59,1501.74,1.06413,0.52362,1.00219,0.94407,0.92917,0.96442,0.67819,1.12342,0.50496,1.03788,0.000181,0.000181,0.000181
60,1527.09,1.06977,0.52589,1.00544,0.94633,0.92612,0.964,0.67819,1.12562,0.50301,1.03988,0.0001755,0.0001755,0.0001755
61,1552.36,1.05903,0.51861,1.00333,0.94005,0.92271,0.96441,0.67496,1.13257,0.50298,1.04272,0.00017,0.00017,0.00017
62,1577.67,1.05391,0.51114,1.0028,0.94134,0.92887,0.96289,0.67456,1.13114,0.50889,1.04497,0.0001645,0.0001645,0.0001645
63,1603.1,1.05838,0.51674,0.99983,0.94604,0.92743,0.96543,0.67787,1.12915,0.5064,1.0404,0.000159,0.000159,0.000159
64,1628.31,1.05403,0.51296,0.9981,0.94737,0.92055,0.96308,0.675,1.13037,0.50137,1.04108,0.0001535,0.0001535,0.0001535
65,1653.49,1.04722,0.51134,0.99611,0.94218,0.92697,0.96384,0.67664,1.13091,0.50533,1.04139,0.000148,0.000148,0.000148
66,1678.76,1.04496,0.51006,0.99872,0.94787,0.92074,0.96468,0.67695,1.1298,0.50226,1.04062,0.0001425,0.0001425,0.0001425
67,1704.02,1.04347,0.50607,0.99274,0.95135,0.92416,0.96498,0.67793,1.12978,0.50667,1.03854,0.000137,0.000137,0.000137
68,1729.35,1.04724,0.50885,0.99684,0.94691,0.92335,0.96529,0.67986,1.12441,0.49741,1.03813,0.0001315,0.0001315,0.0001315
69,1754.65,1.0397,0.50215,0.99358,0.94817,0.92643,0.96485,0.67891,1.12854,0.50262,1.04064,0.000126,0.000126,0.000126
70,1779.82,1.03311,0.49834,0.99166,0.9477,0.92649,0.96488,0.67732,1.1234,0.49716,1.03824,0.0001205,0.0001205,0.0001205
71,1805,1.03426,0.49715,0.99178,0.94887,0.92214,0.96352,0.67499,1.12882,0.50244,1.04085,0.000115,0.000115,0.000115
72,1830.26,1.03891,0.50072,0.98833,0.95041,0.92024,0.96338,0.6759,1.1305,0.50146,1.04051,0.0001095,0.0001095,0.0001095
73,1855.48,1.03326,0.49573,0.9917,0.94897,0.92121,0.96299,0.67868,1.12824,0.50299,1.04204,0.000104,0.000104,0.000104
74,1880.61,1.03007,0.49439,0.98741,0.94439,0.92433,0.96296,0.67878,1.12794,0.50552,1.04123,9.85e-05,9.85e-05,9.85e-05
75,1905.81,1.02782,0.49084,0.98753,0.94669,0.92385,0.96372,0.68116,1.127,0.50212,1.04055,9.3e-05,9.3e-05,9.3e-05
76,1931.29,1.02392,0.48844,0.98566,0.9445,0.92695,0.96264,0.67826,1.12903,0.50506,1.04218,8.75e-05,8.75e-05,8.75e-05
77,1956.63,1.01886,0.4879,0.98737,0.94031,0.92788,0.96323,0.67764,1.12924,0.50195,1.04153,8.2e-05,8.2e-05,8.2e-05
78,1981.81,1.02399,0.48352,0.98394,0.94996,0.92178,0.96251,0.67772,1.12839,0.50081,1.04272,7.65e-05,7.65e-05,7.65e-05
79,2007.17,1.01611,0.48522,0.98261,0.95245,0.92027,0.96377,0.67944,1.12927,0.50002,1.04323,7.1e-05,7.1e-05,7.1e-05
80,2032.4,1.0154,0.48163,0.98499,0.94999,0.92111,0.96373,0.68032,1.12736,0.49749,1.04238,6.55e-05,6.55e-05,6.55e-05
81,2060.26,1.00482,0.43884,0.98629,0.94722,0.92401,0.96247,0.67527,1.13342,0.49942,1.04499,6e-05,6e-05,6e-05
82,2085.33,0.98893,0.42383,0.97859,0.94869,0.92312,0.96224,0.67646,1.13202,0.49633,1.04446,5.45e-05,5.45e-05,5.45e-05
83,2110.15,0.9821,0.42143,0.97582,0.95164,0.91899,0.96245,0.6769,1.13236,0.50079,1.04493,4.9e-05,4.9e-05,4.9e-05
84,2135.1,0.98115,0.41837,0.97836,0.95256,0.91896,0.96278,0.6757,1.13358,0.49854,1.04549,4.35e-05,4.35e-05,4.35e-05
85,2159.93,0.97856,0.41853,0.97474,0.94896,0.92121,0.96211,0.67694,1.1325,0.49892,1.04603,3.8e-05,3.8e-05,3.8e-05
86,2184.71,0.97407,0.41437,0.97208,0.95208,0.91882,0.96269,0.67763,1.13128,0.50075,1.04634,3.25e-05,3.25e-05,3.25e-05
87,2209.54,0.9746,0.41205,0.97363,0.95352,0.9167,0.96287,0.67755,1.13199,0.49894,1.04575,2.7e-05,2.7e-05,2.7e-05
88,2234.41,0.96631,0.40864,0.96737,0.95459,0.9186,0.96233,0.67722,1.13153,0.4994,1.04563,2.15e-05,2.15e-05,2.15e-05
89,2259.26,0.96656,0.40939,0.9694,0.95342,0.91888,0.96219,0.67786,1.12939,0.49746,1.04515,1.6e-05,1.6e-05,1.6e-05
90,2284.07,0.96548,0.40948,0.9689,0.95435,0.91694,0.96248,0.67738,1.13074,0.49862,1.04579,1.05e-05,1.05e-05,1.05e-05
